City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Mount Gambier,AU,-37.8333,140.7667,60.8,63,75,21.85,broken clouds
70,Merauke,ID,-8.4667,140.3333,88.47,51,99,6.46,overcast clouds
71,Abalak,RU,58.1286,68.5944,51.75,75,99,11.88,overcast clouds
72,Half Moon Bay,US,37.4636,-122.4286,50.0,87,90,6.91,haze
73,Nivala,FI,63.9167,24.9667,32.23,88,79,7.94,broken clouds
74,Padang,ID,-0.9492,100.3543,86.36,64,99,5.77,overcast clouds
75,Kieta,PG,-6.2167,155.6333,80.19,83,100,8.43,light rain
76,Port Lincoln,AU,-34.7333,135.8667,64.26,52,100,14.63,overcast clouds
77,Baruun-Urt,MN,46.6806,113.2792,51.67,21,13,11.12,few clouds
78,Tasiilaq,GL,65.6145,-37.6368,28.4,74,49,9.22,scattered clouds
79,Komsomolskiy,UZ,40.4272,71.7189,64.4,34,82,2.3,broken clouds
80,Oktyabrskiy,RU,54.4815,53.471,47.23,91,55,6.22,broken clouds
81,Lata,PT,40.1629,-8.3327,59.0,93,100,3.0,overcast clouds
82,Bronnoysund,NO,65.4625,12.1997,37.4,87,75,12.66,broken clouds
83,Aksu,CN,41.1231,80.2644,63.1,23,52,1.92,broken clouds
84,Esperance,AU,-33.8667,121.9,66.2,55,75,10.36,broken clouds
85,Inuvik,CA,68.3499,-133.7218,30.2,59,77,9.22,broken clouds
86,Lodja,CD,-3.4833,23.4333,68.36,99,100,1.48,moderate rain
87,Lagoa,PT,39.05,-27.9833,59.86,93,58,15.08,broken clouds
88,Plettenberg Bay,ZA,-34.0527,23.3716,64.18,74,12,3.31,few clouds
89,Mar Del Plata,AR,-38.0023,-57.5575,59.0,88,0,5.75,clear sky
90,Avarua,CK,-21.2078,-159.775,77.0,78,20,2.3,few clouds
91,Ust-Kuyga,RU,70.0167,135.6,17.96,68,24,5.66,few clouds
92,Nouadhibou,MR,20.931,-17.0347,66.2,72,88,12.66,overcast clouds
93,Alofi,NU,-19.0595,-169.9187,78.8,69,40,4.61,scattered clouds
94,Manaure,CO,11.7751,-72.4445,76.87,81,100,2.93,overcast clouds
95,Jibuti,DJ,11.5,42.5,76.3,65,33,7.27,scattered clouds
96,Adrar,MR,20.5022,-10.0711,74.59,19,80,16.8,broken clouds
97,Rio Gallegos,AR,-51.6226,-69.2181,66.2,42,0,27.63,clear sky
98,Hambantota,LK,6.1241,81.1185,85.77,64,89,4.41,overcast clouds
99,Hailar,CN,49.2,119.7,45.27,37,91,21.12,overcast clouds
100,Dunedin,NZ,-45.8742,170.5036,53.01,88,100,1.99,overcast clouds
101,Bluff,NZ,-46.6,168.3333,53.01,90,100,1.01,overcast clouds
102,Faanui,PF,-16.4833,-151.75,82.33,73,100,12.12,light rain
103,Ponta Do Sol,PT,32.6667,-17.1,62.6,88,40,5.75,scattered clouds
104,Pisco,PE,-13.7,-76.2167,66.2,82,0,6.91,clear sky
105,Mehamn,NO,71.0357,27.8492,28.4,86,90,19.57,light snow
106,San Martin,AR,-33.081,-68.4681,57.2,67,0,2.28,clear sky
107,Biak,ID,-0.9131,122.8766,81.1,76,80,6.22,broken clouds
